relation_id,sentence_id,description,is_true,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
AFP_ENG_20081120.0043.LDC2009T13_8_2-AFP_ENG_20081120.0043.LDC2009T13_8_7,AFP_ENG_20081120.0043.LDC2009T13_8,Madonna-Guy Ritchie,t,"{Pop,megastar,Madonna,and,her,British,husband,Guy,Ritchie,are,to,be,divorced,in,London,Friday,"","",according,to,a,court,listing,"","",as,reports,said,they,had,struck,a,deal,giving,him,little,of,her,vast,fortune,.}",2,1,7,2,2,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[she],NGRAM_1_[british],""POS_SEQ_[CC PRP$ JJ NN]""}","{4.84841,-2.15061,2.03006,1.35843,1.17816,1.14502}"
AFP_ENG_20080915.0284.LDC2009T13_181_11-AFP_ENG_20080915.0284.LDC2009T13_181_25,AFP_ENG_20080915.0284.LDC2009T13_181,Ellen DeGeneres-Portia de Rossi,t,"{Takei,wed,his,partner,four,weeks,after,another,celebrity,"","",comedian,Ellen,DeGeneres,"","",said,``,I,do,'',to,her,companion,"","",Australian,actress,Portia,de,Rossi,"","",on,August,16,.}",11,2,25,3,3,"{NGRAM_1_[companion],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],""NGRAM_2_[, say]"",""NGRAM_2_[companion ,]"",""NGRAM_1_[,]""}","{2.22969,-2.15061,1.86495,-1.79013,1.39819,-1.35882}"
eng-WL-11-174595-12967080_698_0-eng-WL-11-174595-12967080_698_4,eng-WL-11-174595-12967080_698,Ashton Kutcher-Demi Moore,t,"{Ashton,Kutcher,denies,that,Demi,Moore,is,pregnant,with,his,love,child,.}",0,2,4,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_L_1_R_1_[.]_[be],""POS_SEQ_[VBZ IN]"",NGRAM_1_[that],""BETW_L_[nsubj ccomp nsubj]""}","{-2.15061,2.03006,1.57393,-1.00437,-0.727319,0.529031}"
NYT_ENG_20070309.0154.LDC2009T13_857_38-NYT_ENG_20070309.0154.LDC2009T13_857_35,NYT_ENG_20070309.0154.LDC2009T13_857,Hannah Weyer-Jim McKay,t,"{Directed,and,written,by,Nelson,George,;,Jamie,Foxx,"","",Queen,Latifah,"","",Shelby,Stone,"","",Jaime,Rucker,King,"","",Marcus,King,and,Shakim,Compere,"","",executive,producers,;,Mark,A.,Baker,"","",producer,;,Jim,McKay,and,Hannah,Weyer,"","",writers,.}",38,2,35,2,2,"{INV_LEMMA_SEQ_[and],INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[appos appos]"",""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and],""INV_NER_L_2_R_3_[TITLE O]_[O O O]""}","{1.68884,-1.149,-1.05073,0.995178,-0.963997,-0.884022}"
XIN_ENG_20080715.0054.LDC2009T13_23_13-XIN_ENG_20080715.0054.LDC2009T13_23_28,XIN_ENG_20080715.0054.LDC2009T13_23,Bun Rany-Hun Sen,t,"{The,Red,Cross,organizations,of,Cambodia,and,China,have,kept,frequent,exchanges,"","",Bun,Rany,"","",president,of,the,Cambodian,Red,Cross,and,wife,of,Cambodian,Prime,Minister,Hun,Sen,said,in,a,written,interview,with,Xinhua,News,Agency,and,Chinese-language,newspaper,the,Jian,Hua,Daily,.}",13,2,28,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NGRAM_2_[wife of]"",NGRAM_1_[Minister]}","{5.01088,-2.15061,2.03006,-1.35882,1.08205,-1.02687}"
eng-WL-11-174588-12938323_5051_3-eng-WL-11-174588-12938323_5051_0,eng-WL-11-174588-12938323_5051,Peter Sarsgaard-Maggie Gyllenhaal,t,"{Maggie,Gyllenhaal,and,Peter,Sarsgaard,-LRB-,and,their,daughter,"","",Ramona,-RRB-,and,Robert,Downey,Jr.,and,his,wife,Susan,were,among,the,guests,"","",who,enjoyed,a,DJ,set,that,included,Lada,Gaga,'s,``,Just,Dance,'',and,Al,Green,'s,``,Let,'s,Stay,Together,.,''}",3,2,0,2,2,"{INV_KW_IND_[non_married],INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]""}","{-2.56873,1.68884,-1.22689,1.17156,-1.149,1.0885}"
LTW_ENG_20081230.0031.LDC2009T13_48_23-LTW_ENG_20081230.0031.LDC2009T13_48_19,LTW_ENG_20081230.0031.LDC2009T13_48,Hillary Rodham Clinton-Bill Clinton,t,"{Now,"","",after,spending,much,of,his,adult,life,soliciting,donations,for,others,--,most,notably,"","",former,president,Bill,Clinton,and,Sen.,Hillary,Rodham,Clinton,"","",D-N.Y.,--,McAuliffe,is,considering,using,those,prodigious,skills,and,extensive,contacts,for,himself,"","",as,a,candidate,for,governor,of,Virginia,.}",23,3,19,2,2,"{""INV_POS_SEQ_[CC NNP]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NER_L_1_R_1_[TITLE]_[O],INV_NGRAM_1_[and],""INV_NER_SEQ_[O O]"",""INV_NGRAM_2_[and Sen.]""}","{1.29113,-1.149,1.05752,-0.963997,0.795178,0.654676}"
NYT_ENG_20080329.0009.LDC2009T13_289_5-NYT_ENG_20080329.0009.LDC2009T13_289_2,NYT_ENG_20080329.0009.LDC2009T13_289,Tom Cruise-Nicole Kidman,t,"{Here,'s,Nicole,Kidman,and,Tom,Cruise,"","",divorced,since,2001,"","",who,wrote,:,``,Brilliant,"","",superb,"","",wonderful,.}",5,2,2,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{1.68884,-1.22689,1.17156,-1.149,0.995178,-0.963997}"
AFP_ENG_20080514.0127.LDC2009T13_9_20-AFP_ENG_20080514.0127.LDC2009T13_9_0,AFP_ENG_20080514.0127.LDC2009T13_9,Brad Pitt-Angelina Jolie,t,"{Angelina,Jolie,has,confirmed,in,a,television,interview,to,be,broadcast,later,Wednesday,that,she,is,expecting,twins,with,partner,Brad,Pitt,"","",Access,Hollywood,reported,.}",20,2,0,2,2,"{INV_NGRAM_1_[partner],INV_NGRAM_1_[with],INV_NGRAM_1_[she],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{3.13608,1.42247,1.24168,-1.22689,1.17156,-1.149}"
eng-NG-31-142885-10105306_1244_22-eng-NG-31-142885-10105306_1244_19,eng-NG-31-142885-10105306_1244,Hagar-Abraham,t,"{In,the,hope,that,there,would,be,a,child,"","",and,in,keeping,with,tradition,"","",Sarah,suggested,that,Abraham,should,marry,Hagar,"","",her,Egyptian,maid,.}",22,1,19,1,1,"{INV_NGRAM_1_[marry],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",""INV_NER_L_3_R_1_[PERSON O O]_[O]"",""INV_NER_SEQ_[O O]"",""INV_NER_L_3_R_2_[PERSON O O]_[O O]""}","{4.10193,-1.149,0.995178,0.993231,0.795178,-0.677277}"
NYT_ENG_20070322.0174.LDC2009T13_575_15-NYT_ENG_20070322.0174.LDC2009T13_575_18,NYT_ENG_20070322.0174.LDC2009T13_575,Michael Jackson-Lisa Marie Presley,t,"{Filled,with,labored,exposition,"","",stilted,line,readings,and,the,most,unconvincing,romantic,hookup,since,Michael,Jackson,and,Lisa,Marie,Presley,"","",``,Memory,'',suffers,most,from,Zane,'s,Ken-doll,performance,.}",15,2,18,3,3,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],""LEMMA_L_3_R_1_[romantic hookup since]_[,]"",""LEMMA_L_2_R_2_[hookup since]_[, ``]"",""LEMMA_L_2_R_3_[hookup since]_[, `` memory]""}","{-2.15061,2.03006,1.56175,0.789006,0.789006,0.789006}"
APW_ENG_20081015.1117.LDC2009T13_41_5-APW_ENG_20081015.1117.LDC2009T13_41_3,APW_ENG_20081015.1117.LDC2009T13_41,Guy Ritchie-Madonna,t,"{The,marriage,of,Madonna,and,Guy,Ritchie,began,with,vows,in,a,Scottish,castle,and,ended,Wednesday,with,a,brief,statement,issued,by,their,representatives,"","",which,asked,for,respect,from,the,press,for,their,family,'s,sake,.}",5,2,3,1,1,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{1.68884,-1.22689,1.17156,-1.149,0.995178,-0.963997}"
84443@4_14-84443@4_8,84443@4,Ted Hughes-Sylvia Plath,t,"{Her,other,biographies,were,a,joint,life,of,Sylvia,Plath,and,her,husband,"","",Ted,Hughes,"","",and,the,story,of,the,cross-dressing,jazz,musician,Billy,Tipton,.}",14,2,8,2,2,"{INV_NGRAM_1_[husband],""INV_NGRAM_1_[,]"",""INV_POS_SEQ_[CC PRP$ NN ,]"",INV_NGRAM_1_[she],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]""}","{6.02373,-1.42472,1.42341,1.24168,-1.22689,1.17156}"
eng-WL-11-174592-12943437_170_26-eng-WL-11-174592-12943437_170_60,eng-WL-11-174592-12943437_170,Neil Patrick Harris-David Burtka,t,"{Now,"","",the,man,who,plays,Barney,on,``,How,I,Met,Your,Mother,'',"","",one,of,the,most,heterosexual,characters,on,television,today,"","",Neil,Patrick,Harris,"","",still,known,to,audiences,across,the,world,as,wunderkind,Doogie,Howser,"","",M.D.,followed,suit,following,allegations,by,a,Canadian,website,that,he,helped,his,boyfriend,"","",fellow,Broadway,actor,David,Burtka,land,a,gig,on,the,CBS,sitcom,last,year,.}",26,3,60,2,2,"{NGRAM_1_[boyfriend],KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[help],""NGRAM_1_[,]""}","{2.79418,-2.20027,-2.15061,2.03006,-1.37882,-1.35882}"
AFP_ENG_20081127.0824.LDC2009T13_9_17-AFP_ENG_20081127.0824.LDC2009T13_9_10,AFP_ENG_20081127.0824.LDC2009T13_9,Eva Braun-Adolf Hitler,t,"{Federal,agents,recovered,a,stolen,gold,bookmark,that,Nazi,leader,Adolf,Hitler,reportedly,received,from,his,mistress,Eva,Braun,and,arrested,the,vendor,"","",the,US,Department,of,Justice,said,Wednesday,.}",17,2,10,2,2,"{INV_STARTS_WITH_CAPITAL_[True_True],INV_NER_L_1_R_1_[TITLE]_[O],INV_NGRAM_1_[from],INV_NGRAM_1_[reportedly],IS_INVERTED,""INV_NER_SEQ_[O O O O O]""}","{-1.149,1.05752,0.777667,0.729932,0.57978,0.575769}"
eng-WL-11-174594-12963849_10_10-eng-WL-11-174594-12963849_10_17,eng-WL-11-174594-12963849_10,Eva Longoria-Tony Parker,t,"{fullpost,-LCB-,display,:,inline,;,-RCB-,Sexy,Desperate,Housewife,Eva,Longoria,is,so,jealous,of,hubby,Tony,Parker,she,has,instructed,him,to,stay,away,from,other,women,.}",10,2,17,2,2,"{NGRAM_1_[hubby],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],""NER_L_2_R_1_[O TITLE]_[O]"",""NER_SEQ_[O O O O O]"",NGRAM_1_[of]}","{3.42349,-2.15061,1.86495,1.0539,0.853185,-0.766651}"
eng-WL-11-174587-12963039_280_15-eng-WL-11-174587-12963039_280_12,eng-WL-11-174587-12963039_280,SPENCER PRATT-HEIDI MONTAG,t,"{It,blows,me,away,...,I,'m,sorry,"","",but,whoever,invented,HEIDI,MONTAG,and,SPENCER,PRATT,are,just,...,nothing,matches,it,.}",15,2,12,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{1.68884,-1.22689,1.17156,-1.149,0.995178,-0.963997}"
APW_ENG_20070901.0293.LDC2009T13_48_13-APW_ENG_20070901.0293.LDC2009T13_48_19,APW_ENG_20070901.0293.LDC2009T13_48,Abdullah Ahmad Badawi-Endon Mahmood,t,"{In,an,interview,Thursday,"","",Bush,said,he,tried,to,call,Prime,Minister,Abdullah,Ahmad,Badawi,when,his,wife,Endon,Mahmood,died,on,Oct.,20,"","",2005,"","",The,Star,and,New,Straits,Times,newspapers,reported,"","",citing,Malaysia,'s,national,news,agency,"","",Bernama,.}",13,3,19,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],""BETW_L_[dobj advcl nsubj]"",""NER_SEQ_[O O O]"",NGRAM_1_[when]}","{5.01088,-2.15061,1.86495,1.27871,0.994391,-0.873789}"
AFP_ENG_20081121.0052.LDC2009T13_80_15-AFP_ENG_20081121.0052.LDC2009T13_80_5,AFP_ENG_20081121.0052.LDC2009T13_80,Alan Greenspan-Andrea Mitchell,t,"{The,report,by,NBC,anchor,Andrea,Mitchell,"","",who,is,married,to,former,Fed,chairman,Alan,Greenspan,"","",cheered,depressed,investors,with,New,York,'s,Dow,Jones,share,average,jumping,nearly,500,points,on,the,news,.}",15,2,5,2,2,"{INV_NGRAM_1_[marry],""INV_NGRAM_2_[marry to]"",""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_3_[be marry to]"",""INV_NER_L_1_R_2_[O]_[O O]""}","{4.10193,1.55948,-1.42472,-1.149,1.14322,0.995178}"
NYT_ENG_20070223.0242.LDC2009T13_224_32-NYT_ENG_20070223.0242.LDC2009T13_224_29,NYT_ENG_20070223.0242.LDC2009T13_224,Chris Robinson-Kate Hudson,t,"{Such,indignities,need,not,be,suffered,by,celebrities,whose,pockets,go,deeper,than,their,commitment,did,--,Jennifer,Lopez,and,Ben,Affleck,"","",Hilary,Swank,and,Chad,Lowe,"","",Kate,Hudson,and,Chris,Robinson,"","",to,name,a,few,.}",32,2,29,2,2,"{INV_LEMMA_SEQ_[and],""INV_BETW_L_[conj_and conj_and]"",""INV_NER_L_3_R_2_[PERSON PERSON O]_[O O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_LEMMA_L_1_R_2_[,]_[, to]"",""INV_NER_L_1_R_2_[O]_[O O]""}","{1.68884,-1.25409,-1.19671,-1.149,1.00924,0.995178}"
eng-WL-11-174595-12967726_8_11-eng-WL-11-174595-12967726_8_32,eng-WL-11-174595-12967726_8,Katie Holmes-Tom Cruise,t,"{Hmm,...,I,'ve,received,a,cryptic,message,that,says,that,Katie,Holmes,is,rumored,to,be,in,Toledo,"","",OH,today,where,she,is,going,to,give,birth,...,apparently,"","",Tom,Cruise,is,on,his,way,.}",11,2,32,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[go],LEMMA_L_1_R_1_[that]_[be],""NGRAM_1_[,]"",NGRAM_1_[she]}","{-2.15061,2.03006,2.02914,1.5569,-1.35882,1.35843}"
87012@8_23-87012@8_48,87012@8,Nicolas Sarkozy-Carla Bruni,t,"{Nor,was,it,that,she,had,provided,the,masses,with,yet,another,juicy,tidbit,:,a,video,of,her,marriage,proposal,to,President,Nicolas,Sarkozy,of,France,"","",which,was,posted,on,a,news,Web,site,just,days,before,news,media,reports,linked,him,with,the,Italian,ex-model,Carla,Bruni,.}",23,2,48,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NGRAM_2_[, which]"",LEMMA_L_1_R_1_[President]_[.],NGRAM_1_[with]}","{-2.15061,2.03006,-1.35882,-0.959965,0.946944,0.916859}"
APW_ENG_20080503.0115.LDC2009T13_0_6-APW_ENG_20080503.0115.LDC2009T13_0_2,APW_ENG_20080503.0115.LDC2009T13_0,Nick Cannon-Mariah Carey,t,"{Reports,:,Mariah,Carey,weds,actor-rapper,Nick,Cannon,in,private,ceremony}",6,2,2,2,2,"{INV_NGRAM_1_[wed],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_[dobj wed nsubj]"",""INV_BETW_D_[dobj wed nsubj]"",""INV_POS_SEQ_[VBZ NN]""}","{1.9701,1.17156,-1.149,0.919459,0.919459,0.662435}"
35077@13_19-35077@13_7,35077@13,Ali Hewson-Bono,t,"{At,some,point,after,moving,in,"","",Bono,-LRB-,who,was,born,Paul,Hewson,-RRB-,and,his,wife,"","",Ali,Hewson,"","",who,also,own,homes,in,Dublin,and,the,south,of,France,"","",noticed,smoke,drifting,toward,their,apartment,from,chimneys,in,the,roof,"","",according,to,residents,in,the,building,familiar,with,the,situation,.}",19,2,7,1,1,"{INV_NGRAM_1_[wife],""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{3.74889,-1.42472,-1.22689,1.17156,-1.149,0.995178}"
eng-WL-11-174595-12967464_40_0-eng-WL-11-174595-12967464_40_3,eng-WL-11-174595-12967464_40,Britney Spears-Kevin Federline,t,"{Britney,Spears,and,Kevin,Federline,have,been,spending,considerable,time,at,a,recording,studio,the,past,few,days,.}",0,2,3,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],LEMMA_L_1_R_1_[.]_[have],""NER_L_3_R_1_[DURATION DURATION O]_[O]"",""NER_L_2_R_1_[DURATION O]_[O]""}","{-2.15061,2.03006,1.56175,1.33173,1.26729,1.05438}"
eng-WL-11-174595-12967305_5_11-eng-WL-11-174595-12967305_5_8,eng-WL-11-174595-12967305_5,Tom Cruise-Katie Holmes,t,"{Gag,me,with,a,spoon,already,...,are,Katie,Holmes,and,Tom,Cruise,trying,to,make,me,barf,on,my,lovely,Kenneth,Cole,shoes,"","",or,what,?}",11,2,8,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{1.68884,-1.22689,1.17156,-1.149,0.995178,-0.963997}"
