relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length
eng-WL-11-174595-12968028_352_42-eng-WL-11-174595-12968028_352_12,eng-WL-11-174595-12968028_352,Suri-Suri,f,0.006,"{Over,in,Italy,"","",Tom,Cruise,and,Katie,Holmes,took,little,baby,Suri,out,for,another,stroll,in,town,so,that,the,world,'s,assembled,media,could,get,a,good,look,at,their,little,baby,all,awake,and,wide-eyed,...,behold,"","",Suri,lives,and,breathes,-LRB-,I,think,-RRB-,:}",42,1,12,1
93900@51_24-93900@51_28,93900@51,Mary Jane Truman-Margaret,,0.064,"{In,``,Souvenir,"","",'',co-written,with,Margaret,Cousins,"","",Daniel,said,"","",``,I,was,christened,Mary,Margaret,Truman,"","",after,my,Aunt,Mary,Jane,Truman,and,Margaret,for,Grandmother,Wallace,.,''}",24,3,28,1
56584@20_39-56584@20_28,56584@20,Michael Howells-Beverley Mills,,0.026,"{PRODUCTION,NOTES,:,`,DEATH,AT,A,FUNERAL,',Directed,by,Frank,Oz,;,written,by,Dean,Craig,;,director,of,photography,"","",Oliver,Curtis,;,edited,by,Beverley,Mills,;,music,by,Murray,Gold,;,production,designer,"","",Michael,Howells,;,produced,by,Diana,Phillips,"","",Share,Stallings,"","",Laurence,Malkin,and,Sidney,Kimmel,;,released,by,Metro-Goldwyn-Mayer,Pictures,and,Sidney,Kimmel,Entertainment,.}",39,2,28,2
38490@55_2-38490@55_6,38490@55,Gary Sanchez Productions-Ferrell,,0.078,"{Sequoia,and,Gary,Sanchez,Productions,--,Ferrell,'s,company,"","",where,McKay,is,a,partner,--,declined,to,disclose,specifics,about,their,initial,investments,"","",though,McKay,said,that,he,and,Ferrell,had,been,given,a,budget,of,$,""5,000"",to,create,their,first,videos,.}",2,3,6,1
NYT_ENG_20071206.0182.LDC2009T13_51_0-NYT_ENG_20071206.0182.LDC2009T13_51_5,NYT_ENG_20071206.0182.LDC2009T13_51,Ritchie-Jason Statham,,0.052,"{Ritchie,'s,regular,collaborator,"","",Jason,Statham,"","",stars,as,Jake,Green,"","",an,ex-convict,seeking,revenge,against,a,malevolent,casino,owner,named,Dorothy,Macha,-LRB-,Ray,Liotta,-RRB-,.}",0,1,5,2
NYT_ENG_20080717.0165.LDC2009T13_1781_25-NYT_ENG_20080717.0165.LDC2009T13_1781_6,NYT_ENG_20080717.0165.LDC2009T13_1781,Chandra Wilson-Candice Bergen,,0.004,"{BEST,SUPPORTING,ACTRESS,"","",DRAMA,:,Candice,Bergen,"","",``,Boston,Legal,'',;,Rachel,Griffiths,"","",``,Brothers,&,amp,;,Sisters,'',;,Chandra,Wilson,"","",``,Grey,'s,Anatomy,'',;,Sandra,Oh,"","",``,Grey,'s,Anatomy,'',;,Dianne,Wiest,"","",``,In,Treatment,''}",25,2,6,2
eng-NG-31-142890-10109880_541_46-eng-NG-31-142890-10109880_541_7,eng-NG-31-142890-10109880_541,God-Abraham,,0.05,"{Mohammed,'s,blood,line,does,stem,from,Abraham,in,the,book,of,Genesis,"","",but,Abraham,'s,wife,was,barren,and,he,had,Ismael,with,a,servant,of,his,wife,"","",then,later,conceived,Isaac,"","",the,true,holy,lineage,"","",with,his,wife,"","",as,God,had,promised,.}",46,1,7,1
NYT_ENG_20081105.0009.LDC2009T13_290_18-NYT_ENG_20081105.0009.LDC2009T13_290_0,NYT_ENG_20081105.0009.LDC2009T13_290,Malia-Obama,,0.062,"{Obama,walked,out,on,to,the,stage,with,his,wife,"","",Michelle,"","",and,his,daughters,Sasha,and,Malia,to,thunderous,applause,.}",18,1,0,1
eng-WL-110-174612-12993835_122_5-eng-WL-110-174612-12993835_122_47,eng-WL-110-174612-12993835_122,Kwame-Amerie,,0.002,"{Slightly,""O\\/T"",:,Speaking,of,Kwame,"","",there,'s,another,talented,producer,in,the,making,who,goes,by,the,name,DJ,Kwame.He,has,his,own,website,from,which,you,can,download,some,AMAZING,remixes,for,the,likes,of,Janet,Jackson,"","",Ashanti,"","",Mary,J.,Blige,"","",Amerie,"","",Lauryn,Hill,"","",Erykah,Badu,and,Ciara,.}",5,1,47,1
eng-WL-108-174569-12987451_185_5-eng-WL-108-174569-12987451_185_16,eng-WL-108-174569-12987451_185,Brinkley-Kerry,,0.008,"{Kerry,has,turned,to,author,Brinkley,for,a,``,modification,'',after,it,was,exposed,that,Kerry,was,not,in,Cambodia,during,Christmas,of,1968,"","",as,he,once,claimed,from,the,Senate,floor,.}",5,1,16,1
LTW_ENG_20081016.0036.LDC2009T13_641_1-LTW_ENG_20081016.0036.LDC2009T13_641_18,LTW_ENG_20081016.0036.LDC2009T13_641,Robert De Niro-Kristen Stewart,,0.014,"{With,Robert,De,Niro,"","",Sean,Penn,"","",Catherine,Keener,"","",Stanley,Tucci,"","",Robin,Wright,Penn,"","",Kristen,Stewart,and,Bruce,Willis,.}",1,3,18,2
APW_ENG_20080510.0024.LDC2009T13_493_11-APW_ENG_20080510.0024.LDC2009T13_493_15,APW_ENG_20080510.0024.LDC2009T13_493,Graziano-Debbie,,0.02,"{``,Speeding,to,Nick,was,a,badge,of,honor,"","",'',Graziano,'s,mother,"","",Debbie,"","",said,during,the,hearing,.}",11,1,15,1
NYT_ENG_20080717.0150.LDC2009T13_753_7-NYT_ENG_20080717.0150.LDC2009T13_753_35,NYT_ENG_20080717.0150.LDC2009T13_753,Catherine Johnson-Julie Walters,,0,"{Directed,by,Phyllida,Lloyd,;,written,by,Catherine,Johnson,;,based,on,the,songs,of,ABBA,;,photography,by,Haris,Zambarlouskos,;,starring,Meryl,Streep,"","",Pierce,Brosnan,"","",Colin,Firth,"","",Stellan,Skarsgard,"","",Julie,Walters,"","",Amanda,Seyfried,and,Christine,Baranski,.}",7,2,35,2
APW_ENG_20070915.0501.LDC2009T13_256_10-APW_ENG_20070915.0501.LDC2009T13_256_17,APW_ENG_20070915.0501.LDC2009T13_256,Mark Gillespie-Daniel Vettori,,0,"{Bowling,:,Shane,Bond,4-0-45-0,"","",Chris,Martin,3-0-23-0,"","",Mark,Gillespie,2.5-0-29-0,-LRB-,1w,-RRB-,"","",Daniel,Vettori,4-0-23-2,"","",Scott,Styris,3-0-16-1,"","",2-0-21-0,.}",10,2,17,2
eng-NG-31-131373-12111539_348_39-eng-NG-31-131373-12111539_348_22,eng-NG-31-131373-12111539_348,Leigh Downes Jane Homan-Peter Janak,,0.034,"{Communications,Officer,Brittany,Ransbottom,-,nominated,by,Michelle,``,MAC,'',Christopher,and,seconded,by,Carter,Powell,Matt,Liptak,-,nominated,by,Peter,Janak,and,seconded,by,Carter,Powell,Peter,Stanley,-,nominated,by,Allie,Stevens,and,seconded,by,Leigh,Downes,Jane,Homan,-,nominated,by,Marc,Rosen,and,seconded,by,Tyler,Pugliese}",39,4,22,2
eng-NG-31-146356-10387809_0_0-eng-NG-31-146356-10387809_0_3,eng-NG-31-146356-10387809_0,Will Smith-Tom Cruise,f,0.272,"{Will,Smith,and,Tom,Cruise,at,',I,am,Legend,',Premiere,in,NY,-LRB-,Photos,-RRB-}",0,2,3,2
LTW_ENG_20080309.0038.LDC2009T13_460_22-LTW_ENG_20080309.0038.LDC2009T13_460_31,LTW_ENG_20080309.0038.LDC2009T13_460,Lee Hamilton-Thomas Kean,,0.006,"{Terror,Free,Tomorrow,is,a,nonprofit,advocacy,group,whose,advisory,board,members,include,the,former,""9\\/11"",Commission,co-chairmen,--,former,Democratic,Rep.,Lee,Hamilton,"","",D-Ind.,"","",and,former,Republican,Gov.,Thomas,Kean,--,as,well,as,Republican,presidential,candidate,John,McCain,of,Arizona,and,former,Senate,Majority,Leader,Bill,Frist,"","",R-Tenn,.}",22,2,31,2
APW_ENG_20080924.1114.LDC2009T13_426_49-APW_ENG_20080924.1114.LDC2009T13_426_9,APW_ENG_20080924.1114.LDC2009T13_426,Bob Geldof-Wei Jingsheng,,0,"{This,year,"","",known,nominees,also,include,Chinese,dissident,Wei,Jingsheng,;,former,Israeli,nuclear,technician,Mordechai,Vanunu,;,former,German,Chancellor,Helmut,Kohl,;,former,Finnish,President,Martti,Ahtisaari,for,his,peace,efforts,;,Russian,Prime,Minister,Vladimir,Putin,for,his,alternative,fuels,initiative,;,Irish,rock,star,Bob,Geldof,;,the,Peace,Jam,Foundation,;,the,environmental,group,Greenpeace,;,and,American,Jesuit,Priest,John,Dear,.}",49,2,9,2
NYT_ENG_20070908.0027.LDC2009T13_503_12-NYT_ENG_20070908.0027.LDC2009T13_503_2,NYT_ENG_20070908.0027.LDC2009T13_503,Jabarri-Jackson,,0.002,"{Ford,and,Jackson,"","",along,with,their,older,brothers,"","",Robert,and,Jabarri,"","",respectively,"","",were,""\\"",u201Cthick,as,thieves,"","",""\\"",u201D,Sprague,said,.}",12,1,2,1
AFP_ENG_20070324.0078.LDC2009T13_443_0-AFP_ENG_20070324.0078.LDC2009T13_443_29,AFP_ENG_20070324.0078.LDC2009T13_443,Jayawardene-Chaminda Vaas,,0.012,"{Jayawardene,conceded,that,he,felt,his,team,'s,total,of,254-6,was,short,of,expectations,against,a,strong,Indian,batting,line-up,"","",but,off-spinner,Muttiah,Muralitharan,and,left-arm,paceman,Chaminda,Vaas,bowled,really,well,.}",0,1,29,2
APW_ENG_20080828.0735.LDC2009T13_260_1-APW_ENG_20080828.0735.LDC2009T13_260_15,APW_ENG_20080828.0735.LDC2009T13_260,Fran Drescher-Edelman,,0.034,"{--,Fran,Drescher,"","",Ashley,Judd,and,Joy,Bryant,joined,Lopez,at,the,reception,honoring,Edelman,.}",1,2,15,1
AFP_ENG_20071125.0426.LDC2009T13_153_9-AFP_ENG_20071125.0426.LDC2009T13_153_29,AFP_ENG_20071125.0426.LDC2009T13_153,Morne van Wyk-Albie Morkel,,0.002,"{South,Africa,:,Graeme,Smith,-LRB-,captain,-RRB-,"","",Morne,van,Wyk,"","",JP,Duminy,"","",Jacques,Kallis,"","",AB,de,Villiers,"","",Mark,Boucher,"","",Shaun,Pollock,"","",Albie,Morkel,"","",Johan,Botha,"","",Andre,Nel,"","",Makhaya,Ntini,.}",9,3,29,2
eng-WL-110-174612-12993835_122_5-eng-WL-110-174612-12993835_122_38,eng-WL-110-174612-12993835_122,Kwame-Janet Jackson,,0.01,"{Slightly,""O\\/T"",:,Speaking,of,Kwame,"","",there,'s,another,talented,producer,in,the,making,who,goes,by,the,name,DJ,Kwame.He,has,his,own,website,from,which,you,can,download,some,AMAZING,remixes,for,the,likes,of,Janet,Jackson,"","",Ashanti,"","",Mary,J.,Blige,"","",Amerie,"","",Lauryn,Hill,"","",Erykah,Badu,and,Ciara,.}",5,1,38,2
AFP_ENG_20070610.0235.LDC2009T13_44_22-AFP_ENG_20070610.0235.LDC2009T13_44_40,AFP_ENG_20070610.0235.LDC2009T13_44,Brad Haddin-Brendon McCullum,f,0.01,"{The,pair,added,218,for,the,sixth,wicket,to,pass,the,previous,best,of,165,"","",shared,by,Australians,Mike,Hussey,and,Brad,Haddin,-LRB-,v,West,Indies,at,Kuala,Lumpur,in,2006,-RRB-,and,New,Zealanders,Craig,McMillan,and,Brendon,McCullum,-LRB-,v,Australia,at,Hamilton,in,2007,-RRB-,.}",22,2,40,2
eng-NG-31-149367-10580926_225_56-eng-NG-31-149367-10580926_225_59,eng-NG-31-149367-10580926_225,Daniel Quinn-Ishmael,,0.1,"{""\\*"",Tim,Hudson,-,Institute,of,Sustainable,Energy,Education,""\\*"",John,Richter,-,Institute,of,Sustainable,Energy,Education,""\\*"",Christina,Snyder,-,Architect,for,Manitou,Arbor,Ecovillage,""\\*"",Thaddeus,Owen,-,Permaculture,specialist,and,environmental,design,""\\*"",David,Alexander,-,founder,of,PlanetThoughts.org,""\\*"",Aaron,Wissner,-,teacher,and,founder,of,Local,Future,INVITED,PRESENTERS,""\\*"",Daniel,Quinn,-,Ishmael,"","",The,Story,of,B,"","",My,Ishmael,""\\*"",Jared,Diamond,-,Collapse,;,Guns,"","",Germs,&,Steel,-LRB-,Pulitzer,Prize,winner,-RRB-,""\\*"",Stephanie,Mills,-,Whatever,Happened,to,Ecology,?}",56,2,59,1
eng-WL-11-174595-12967847_211_8-eng-WL-11-174595-12967847_211_12,eng-WL-11-174595-12967847_211,Peter Allen-Tenterfield Saddler,,0.094,"{Hollywood,and,Broadway,star,Australian,Hugh,Jackman,sang,Peter,Allen,'s,classic,Tenterfield,Saddler,during,the,ceremony,"","",and,a,Sydney,Symphony,string,quartet,also,played,.}",8,2,12,2
eng-WL-11-174595-12967980_894_27-eng-WL-11-174595-12967980_894_52,eng-WL-11-174595-12967980_894,Jenny-Deb,,0.008,"{And,finally,"","",I,have,to,send,out,lots,of,love,to,a,few,Pink,is,the,new,Blog,readers,who,sent,in,these,fun,pictures,--,Jenny,celebrating,her,16th,birthday,with,a,PITNB,esque,cake,made,by,her,sister,Maria,--,Fatty,the,bird,-LRB-,sent,in,by,her,friend,Deb,-RRB-,--,Amanda,with,her,cute,sign,--,Beau,"","",Lindsay,"","",and,Lucas,-LRB-,fellow,OU,alums,-RRB-,gettin,',ready,for,the,OU,""\\/"",TX,football,game,-LRB-,tho,"","",it,'s,a,bummer,how,things,turned,out,for,us,Sooners,-RRB-,:}",27,1,52,1
AFP_ENG_20070216.0532.LDC2009T13_61_21-AFP_ENG_20070216.0532.LDC2009T13_61_15,AFP_ENG_20070216.0532.LDC2009T13_61,Arun Nayar-Elizabeth Hurley,t,0.062,"{The,news,came,the,same,day,that,Grant,'s,ex-girlfriend,"","",British,model,and,actress,Elizabeth,Hurley,"","",and,Indian,businessman,Arun,Nayar,told,officials,of,their,plan,to,wed.,.}",21,2,15,2
NYT_ENG_20070718.0154.LDC2009T13_311_12-NYT_ENG_20070718.0154.LDC2009T13_311_24,NYT_ENG_20070718.0154.LDC2009T13_311,Penny-J. Stubbs,,0.002,"{Amanda,Bynes,breaks,out,at,the,end,as,Tracy,'s,oppressed,friend,Penny,;,Elijah,Kelley,rips,whenever,he,steps,up,as,hot-moving,Seaweed,J.,Stubbs,;,Snow,is,the,perfect,petite,she-devil,as,Amber,;,and,in,perhaps,the,most,unexpected,revelation,"","",James,Marsden,-LRB-,that,would,be,Cyclops,from,the,``,X-Men,'',movies,-RRB-,rocks,mightily,as,show,host,Corny,Collins,.}",12,1,24,2
eng-NG-31-141957-9978552_100_51-eng-NG-31-141957-9978552_100_11,eng-NG-31-141957-9978552_100,Suri-Katie Holmes,,0,"{Washington,-LRB-,ANI,-RRB-,:,Reports,that,Tom,Cruise,and,wife,Katie,Holmes,are,planning,a,trial,separation,are,``,absolutely,false,'',"","",insist,their,reps.,U.S.,magazine,In,Touch,reports,that,Holmes,is,planning,to,leave,the,actor,"","",and,move,to,Manhattan,"","",New,York,with,their,daughter,Suri,.}",51,1,11,2
eng-WL-109-174581-12951236_1026_21-eng-WL-109-174581-12951236_1026_28,eng-WL-109-174581-12951236_1026,Jonathan Nolan-Batman,,0.002,"{Unfortunately,"","",according,to,this,report,"","",neither,Maggie,nor,Heath,attended,but,director,Christopher,Nolan,"","",writers,David,Goyer,and,Jonathan,Nolan,"","",and,Christian,Bale,-LRB-,Batman,himself,-RRB-,"","",Gary,Oldman,-LRB-,Lt,James,Gordon,-RRB-,and,Aaron,Eckhard,-LRB-,Harvey,Dent,-RRB-,were,there,along,with,a,special,`,sizzle,reel,',.}",21,2,28,1
APW_ENG_20070420.1021.LDC2009T13_509_15-APW_ENG_20070420.1021.LDC2009T13_509_23,APW_ENG_20070420.1021.LDC2009T13_509,Lisa Raymond-Kirsten Flipkens,,0.02,"{The,United,States,will,use,surprise,Australian,Open,champion,Serena,Williams,"","",Venus,Williams,"","",Lisa,Raymond,and,Vania,King,against,Belgium,'s,Kirsten,Flipkens,"","",Caroline,Maes,"","",Yanina,Wickmayer,and,Tamaryn,Hendler,.}",15,2,23,2
APW_ENG_20080505.0619.LDC2009T13_67_12-APW_ENG_20080505.0619.LDC2009T13_67_4,APW_ENG_20080505.0619.LDC2009T13_67,Paulette Dean Daly-Clemens,,0.18,"{The,newspaper,also,linked,Clemens,to,former,Manhattan,bartender,Angela,Moyer,and,Paulette,Dean,Daly,"","",a,former,wife,of,champion,golfer,John,Daly,.}",12,3,4,1
NYT_ENG_20070131.0139.LDC2009T13_9_5-NYT_ENG_20070131.0139.LDC2009T13_9_8,NYT_ENG_20070131.0139.LDC2009T13_9,Laura Silverman-Jay Johnston,,0.046,"{Starring,:,Sarah,Silverman,"","",Laura,Silverman,"","",Jay,Johnston,"","",Brian,Posehn,"","",Steve,Agee}",5,2,8,2
390@16_10-390@16_35,390@16,David-Kennedys,,0,"{Two,of,John,F.,Kennedy,Jr.,"","",'s,cousins,"","",David,and,Michael,"","",both,sons,of,Robert,Kennedy,"","",died,young,"","",the,latter,of,a,drug,overdose,in,1984,"","",as,did,four,Kennedys,of,the,preceding,generation,.}",10,1,35,1
LTW_ENG_20071213.0043.LDC2009T13_665_9-LTW_ENG_20071213.0043.LDC2009T13_665_21,LTW_ENG_20071213.0043.LDC2009T13_665,Abraham-Pastore,,0,"{The,main,characters,represent,the,founders,of,Judaism,--,Abraham,-LRB-,Benjamin,-RRB-,"","",Jacob,-LRB-,Statham,-RRB-,"","",Isaac,-LRB-,Pastore,-RRB-,--,plus,the,pharaoh,-LRB-,Liotta,-RRB-,and,their,``,mystical,escape,from,the,physical,domain,"","",'',he,said,.}",9,1,21,1
148159@1_17-148159@1_29,148159@1,Bush-Obama,,0.002,"{The,highly-anticipated,"","",symbolic,meeting,-,Obama,'s,first,visit,to,the,Oval,Office,-,came,as,Bush,'s,public,approval,sunk,to,a,record,low,"","",and,as,Obama,benefits,from,a,hopeful,public,that,believes,he,can,put,a,troubled,nation,back,on,track,.}",17,1,29,1
NYT_ENG_20070502.0106.LDC2009T13_907_11-NYT_ENG_20070502.0106.LDC2009T13_907_14,NYT_ENG_20070502.0106.LDC2009T13_907,Michael Murphy-Kristen Thomson,,0.046,"{Starring,:,Julie,Christie,"","",Gordon,Pinsent,"","",Olympia,Dukakis,"","",Michael,Murphy,"","",Kristen,Thomson,"","",Wendy,Crewson,.}",11,2,14,2
NYT_ENG_20070515.0133.LDC2009T13_1666_62-NYT_ENG_20070515.0133.LDC2009T13_1666_51,NYT_ENG_20070515.0133.LDC2009T13_1666,Duncan Sheik-Nell Benjamin,,0.004,"{Original,Score,--,``,Curtains,'',-LRB-,music,:,John,Kander,;,lyrics,:,Fred,Ebb,"","",Kander,and,Rupert,Holmes,-RRB-,;,``,Grey,Gardens,'',-LRB-,music,:,Scott,Frankel,;,lyrics,:,Michael,Korie,-RRB-,;,``,Legally,Blonde,'',-LRB-,music,and,lyrics,:,Laurence,O'Keefe,and,Nell,Benjamin,-RRB-,;,``,Spring,Awakening,'',-LRB-,music,:,Duncan,Sheik,;,lyrics,:,Steven,Sater,-RRB-,.}",62,2,51,2
LTW_ENG_20080205.0099.LDC2009T13_992_18-LTW_ENG_20080205.0099.LDC2009T13_992_6,LTW_ENG_20080205.0099.LDC2009T13_992,Charles Francis Adams-John Quincy Adams,,0.012,"{Though,John,Adams,',son,"","",John,Quincy,Adams,"","",became,the,sixth,president,-LRB-,and,his,son,Charles,Francis,Adams,was,a,member,of,Congress,and,ambassador,to,Britain,-RRB-,"","",McCullough,feels,the,word,implies,a,certain,unseemliness,.}",18,3,6,3
eng-WL-107-174567-12933275_122_53-eng-WL-107-174567-12933275_122_56,eng-WL-107-174567-12933275_122,Gisele Bundchen-Kate Hudson,,0.114,"{So,"","",Mario,'s,personal,collection,has,now,been,made,into,a,book,and,features,300,pages,of,both,color,and,black,and,white,`,off-screen,',moments,of,the,likes,of,the,Brad,Pitt,and,Angelina,Jolie,"","",Jennifer,Lopez,"","",Nicole,Kidman,"","",Marc,Anthony,"","",George,Clooney,"","",Madonna,"","",Gisele,Bundchen,"","",Kate,Hudson,"","",Gwyneth,Paltrow,"","",and,many,more,.}",53,2,56,2
108555@28_19-108555@28_26,108555@28,Carter Rutherford-C.C. Frazier,,0.018,"{WITH,:,George,Clooney,-LRB-,Dodge,Connolly,-RRB-,"","",Renee,Zellweger,-LRB-,Lexie,Littleton,-RRB-,"","",John,Krasinski,-LRB-,Carter,Rutherford,-RRB-,and,Jonathan,Pryce,-LRB-,C.C.,Frazier,-RRB-,.}",19,2,26,2
eng-WL-11-174588-12938556_4565_36-eng-WL-11-174588-12938556_4565_7,eng-WL-11-174588-12938556_4565,Jake-Stephen Gyllenhaal,,0.008,"{Also,"","",Jake,'s,parents,"","",director,Stephen,Gyllenhaal,and,screenwriter,Naomi,Foner,"","",own,a,home,there,and,Jakey,and,his,sis,Maggie,Gyllenhaal,have,been,spending,their,summers,there,since,they,were,kids,-LRB-,Jake,was,even,a,lifeguard,there,when,he,was,a,teen,-RRB-,.}",36,1,7,2
54369@35_49-54369@35_42,54369@35,Michael Wade-Stephen M. Kaus,,0.01,"{PRODUCTION,NOTES,:,`,THE,CORN,IS,GREEN,',By,Emlyn,Williams,;,directed,by,Nicholas,Martin,;,sets,by,James,Noone,;,costumes,by,Jeff,Mahshie,;,lighting,by,Frances,Aronson,;,sound,by,Drew,Levy,;,production,stage,manager,"","",Stephen,M.,Kaus,;,production,manager,"","",Michael,Wade,;,general,manager,"","",William,Darger,.}",49,2,42,3
NYT_ENG_20070802.0095.LDC2009T13_822_12-NYT_ENG_20070802.0095.LDC2009T13_822_25,NYT_ENG_20070802.0095.LDC2009T13_822,Todd Anthony Bello-Jennifer Lopez,,0.008,"{Directed,by,Leon,Ichaso,;,written,by,Ichaso,and,David,Darmstaedter,and,Todd,Anthony,Bello,;,photography,by,Claudio,Chea,;,starring,Marc,Anthony,"","",Jennifer,Lopez,"","",John,Ortiz,"","",Manny,Perez}",12,3,25,2
LTW_ENG_20071116.0155.LDC2009T13_10_9-LTW_ENG_20071116.0155.LDC2009T13_10_6,LTW_ENG_20071116.0155.LDC2009T13_10,Gracie Allen-George Burns,t,0.442,"{Burns,played,himself,on,``,The,George,Burns,and,Gracie,Allen,Show,"","",'',which,ran,on,CBS,from,1950,to,1958,"","",and,``,The,George,Burns,Show,"","",'',which,ran,for,one,season,after,Allen,retired,from,show,business,in,1958,.}",9,2,6,2
153688@41_64-153688@41_55,153688@41,Havel-Truman Capote,,0.008,"{As,Greene,grew,increasingly,well,known,"","",these,letters,fill,with,plummy,celebrity,cameos,:,he,spends,time,on,a,boat,with,Laurence,Olivier,-LRB-,Greene,calls,him,``,Larry,'',-RRB-,and,Vivien,Leigh,;,there,are,late,nights,in,Havana,with,Fidel,Castro,in,the,1960s,;,he,has,his,fortune,told,by,Truman,Capote,;,he,visits,with,Alfred,Hitchcock,"","",Havel,and,Waugh,.}",64,1,55,2
NYT_ENG_20070908.0044.LDC2009T13_270_14-NYT_ENG_20070908.0044.LDC2009T13_270_24,NYT_ENG_20070908.0044.LDC2009T13_270,Joe Beimel-Winn,,0.008,"{And,how,could,Little,"","",later,in,that,inning,"","",have,brought,in,lefty,Joe,Beimel,to,face,switch-hitting,Randy,Winn,"","",knowing,that,Winn,was,hitting,almost,80,points,higher,from,the,right,side,and,had,three,hits,in,eight,career,at-bats,against,Beimel,?}",14,2,24,1
APW_ENG_20080918.1364.LDC2009T13_439_24-APW_ENG_20080918.1364.LDC2009T13_439_0,APW_ENG_20080918.1364.LDC2009T13_439,Simpson-Caldwell,,0.006,"{Caldwell,tried,to,say,he,had,contacted,a,lawyer,for,Fred,Goldman,"","",the,father,of,Ronald,Goldman,"","",who,was,slain,along,with,Simpson,'s,ex-wife,Nicole,Brown,Simpson,in,1994,.}",24,1,0,1
APW_ENG_20080821.0517.LDC2009T13_327_27-APW_ENG_20080821.0517.LDC2009T13_327_19,APW_ENG_20080821.0517.LDC2009T13_327,Chaudhry-Benazir Bhutto,,0.05,"{But,Asif,Ali,Zardari,"","",the,leader,of,the,Pakistan,People,'s,Party,and,widower,of,assassinated,former,premier,Benazir,Bhutto,"","",is,less,enthusiastic,"","",accusing,Chaudhry,of,being,too,political,.}",27,1,19,2
NYT_ENG_20070417.0194.LDC2009T13_770_30-NYT_ENG_20070417.0194.LDC2009T13_770_9,NYT_ENG_20070417.0194.LDC2009T13_770,Bush-Richard Nixon,,0.002,"{And,Little,said,his,specialty,remains,impersonations,of,Presidents,Richard,Nixon,"","",Jimmy,Carter,and,Ronald,Reagan,"","",as,well,as,Johnny,Carson,--,though,he,plans,to,mimic,President,Bush,and,Sen.,John,McCain,of,Arizona,on,Saturday,night,.}",30,1,9,2
79572@31_29-79572@31_14,79572@31,Ward-Harvill,,0,"{Among,Roche,'s,books,are,two,novels,"","",``,O,Pale,Galilean,'',-LRB-,Harvill,"","",1954,-RRB-,and,``,Vessel,of,Dishonor,'',-LRB-,Sheed,&,amp,;,Ward,"","",1962,-RRB-,;,a,collection,of,fables,"","",``,The,Rat,&,amp,;,the,Convent,Dove,'',-LRB-,Hand,&,amp,;,Flower,Press,"","",1952,-RRB-,;,and,a,travel,memoir,"","",``,With,Duncan,Grant,in,Southern,Turkey,'',-LRB-,Honeyglen,-RRB-,"","",published,in,1982,.}",29,1,14,1
eng-WL-11-174595-12968514_996_4-eng-WL-11-174595-12968514_996_29,eng-WL-11-174595-12968514_996,Jamie Spears-Phil,,0.002,"{Britney,Spears,',dad,Jamie,Spears,has,angrily,banned,the,family,from,any,involvement,or,participation,with,Dr.,Phil,'s,planned,Britney-intervention,episode,"","",a,source,linked,to,Dr.,Phil,'s,camp,tells,Life,&,Style,.}",4,2,29,1
eng-WL-11-174599-12966035_16_32-eng-WL-11-174599-12966035_16_18,eng-WL-11-174599-12966035_16,Chris Brown-Jessica Simpson,f,0.042,"{Apparently,there,are,lots,of,``,breaking,news,'',stories,in,the,pop,culture,world,recently,"","",from,Jessica,Simpson,'s,weight,gain,to,the,Michael,Phelps,Pot,Scandal,and,now,to,Chris,Brown,'s,alleged,beating,of,his,girlfriend,"","",Rihanna,.}",32,2,18,2
juancole.com_juancole_20040620021100_ENG_20040620_021100.LDC2006E32_600_29-juancole.com_juancole_20040620021100_ENG_20040620_021100.LDC2006E32_600_35,juancole.com_juancole_20040620021100_ENG_20040620_021100.LDC2006E32_600,Jesus-Muhammad,,0.008,"{And,"","",the,Koran,also,identifies,Allah,or,``,God,'',as,the,God,of,Abraham,"","",Isaac,"","",Ishmael,"","",Moses,"","",David,"","",John,the,Baptist,and,Jesus,"","",as,well,as,of,Muhammad,.}",29,1,35,1
150008@47_28-150008@47_2,150008@47,Christopher P. Lu-Axelrod,,0.006,"{Aside,from,Axelrod,and,Craig,"","",the,Obama,transition,announced,that,Lisa,Brown,"","",former,counsel,to,Vice,President,Al,Gore,"","",would,serve,as,staff,secretary,and,Christopher,P.,Lu,"","",a,top,aide,in,Obama,'s,Senate,office,"","",would,be,Cabinet,secretary,.}",28,3,2,1
APW_ENG_20081202.1210.LDC2009T13_57_32-APW_ENG_20081202.1210.LDC2009T13_57_6,APW_ENG_20081202.1210.LDC2009T13_57,Alessandra Ambrosio-Miranda Kerr,,0.014,"{Marisa,Miller,"","",Doutzen,Kroes,and,Miranda,Kerr,are,the,newest,models,to,be,given,their,wings,by,the,lingerie,giant,"","",joining,Heidi,Klum,"","",Karolina,Kurkova,"","",Adriana,Lima,"","",Alessandra,Ambrosio,and,Selita,Ebanks,as,the,brand,'s,top,models,.}",32,2,6,2
eng-NG-31-100316-11533652_496_7-eng-NG-31-100316-11533652_496_4,eng-NG-31-100316-11533652_496,Bill Joy-Andreas Bechtolsheim,,0.004,"{mail.mud.yahoo.com,-RSB-,8,-RRB-,Andreas,Bechtolsheim,"","",Bill,Joy,"","",Scott,Mc,Nealy,and,Vinod,Khosla,of,SUN,-LRB-,StanfordUniversity,Network,-RRB-,MicroSystems,.}",7,2,4,2
